Arriba/abajo;X;xGOT;Gol (0/1);Partido;Equipo tiro;Equipo portera;Portera;Altura;"Resultante
de cada tiro"
Arriba;High centre;0.03;1;FCB-OLY (final);FCB;OLY;C. Endler;1.82;0.97
Arriba;High left;0.24;1;FCB-OLY (final);FCB;OLY;C. Endler;1.82;0.76
Abajo;Low centre;0.06;0;FCB-OLY (final);FCB;OLY;C. Endler;1.82;-0.06
Abajo;Low centre;0.46;0;FCB-OLY (final);FCB;OLY;C. Endler;1.82;-0.46
Abajo;Low centre;0.04;0;FCB-OLY (final);OLY;FCB;Cata Coll;1.7;-0.04
Abajo;Low left;0.15;0;FCB-OLY (final);OLY;FCB;Cata Coll;1.7;-0.15
Abajo;Low left;0.15;0;CHE-FCB (sm);FCB;CHE;Hanna Hampton;1.73;-0.15
Abajo;Low left;0.53;1;CHE-FCB (sm);FCB;CHE;Hanna Hampton;1.73;0.47
Abajo;Low left;0.28;0;CHE-FCB (sm);FCB;CHE;Hanna Hampton;1.73;-0.28
Abajo;Low left;0.99;1;CHE-FCB (sm);FCB;CHE;Hanna Hampton;1.73;0.01
Abajo;Low left;0.55;0;CHE-FCB (sm);CHE;FCB;Cata Coll;1.7;-0.55
Abajo;Low centre;0.03;0;CHE-FCB (sm);CHE;FCB;Cata Coll;1.7;-0.03
Abajo;Low centre;0.03;0;FCB-CHE (sm);FCB;CHE;Hanna Hampton;1.73;-0.03
Abajo;Low right;0.22;1;FCB-CHE (sm);CHE;FCB;Cata Coll;1.7;0.78
Abajo;Low centre;0.03;0;FCB-CHE (sm);CHE;FCB;Cata Coll;1.7;-0.03
Abajo;Low left;0.67;1;OLY-PSG (sm);OLY;PSG;Constance P;1.8;0.33
Abajo;Low right;0.61;1;OLY-PSG (sm);OLY;PSG;Constance P;1.8;0.39
Abajo;Low left;0.46;0;OLY-PSG (sm);OLY;PSG;Constance P;1.8;-0.46
Arriba;High right;0.31;1;OLY-PSG (sm);OLY;PSG;Constance P;1.8;0.69
Abajo;Low left;0.19;0;OLY-PSG (sm);OLY;PSG;Constance P;1.8;-0.19
Arriba;High right;0.18;0;OLY-PSG (sm);OLY;PSG;Constance P;1.8;-0.18
Abajo;Low left;0.1;0;OLY-PSG (sm);OLY;PSG;Constance P;1.8;-0.1
Abajo;Low left;0.06;0;OLY-PSG (sm);OLY;PSG;Constance P;1.8;-0.06
Abajo;Low centre;0.86;1;OLY-PSG (sm);PSG;OLY;C. Endler;1.82;0.14
Abajo;Low left;0.55;1;OLY-PSG (sm);PSG;OLY;C. Endler;1.82;0.45
Abajo;Low left;0.3;0;OLY-PSG (sm);PSG;OLY;C. Endler;1.82;-0.3
Abajo;Low right;0.66;1;PSG-OLY (sm);PSG;OLY;C. Endler;1.82;0.34
Arriba;High centre;0.04;0;PSG-OLY (sm);PSG;OLY;C. Endler;1.82;-0.04
Abajo;Low centre;0.04;0;PSG-OLY (sm);PSG;OLY;C. Endler;1.82;-0.04
Abajo;Low right;0.54;1;PSG-OLY (sm);OLY;PSG;Constance P;1.8;0.46
Abajo;Low right;0.23;1;PSG-OLY (sm);OLY;PSG;Constance P;1.8;0.77
Arriba;High centre;0.06;0;PSG-OLY (sm);OLY;PSG;Constance P;1.8;-0.06
Abajo;Low centre;0.06;0;PSG-OLY (sm);OLY;PSG;Constance P;1.8;-0.06
Abajo;Low centre;0.04;0;PSG-OLY (sm);OLY;PSG;Constance P;1.8;-0.04
Abajo;Low centre;0.04;0;PSG-OLY (sm);OLY;PSG;Constance P;1.8;-0.04
Abajo;Low centre;0.03;0;PSG-OLY (sm);OLY;PSG;Constance P;1.8;-0.03
Abajo;Low right;0.97;1;BRANN-FCB (4);BRANN;FCB;Cata Coll;1.7;0.03
Arriba;High left;0.18;0;BRANN-FCB (4);BRANN;FCB;Cata Coll;1.7;-0.18
Abajo;Low right;0.71;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.71
Abajo;Low centre;0.53;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.53
Abajo;Low left;0.33;1;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;0.67
Abajo;Low right;0.14;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.14
Abajo;Low left;0.09;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.09
Abajo;Low left;0.08;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.08
Arriba;High centre;0.07;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.07
Abajo;Low centre;0.05;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.05
Abajo;Low centre;0.03;1;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;0.97
Abajo;Low centre;0.03;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.03
Abajo;Low centre;0.03;0;BRANN-FCB (4);FCB;BRANN;Aurora M;1.73;-0.03
Abajo;Low right;0.55;1;BRANN-FCB (4);BRANN;FCB;Cata Coll;1.7;0.45
Abajo;Low right;0.24;0;BRANN-FCB (4);BRANN;FCB;Cata Coll;1.7;-0.24
Abajo;Low left;0.99;1;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;0.01
Abajo;Low left;0.96;1;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;0.04
Abajo;Low centre;0.62;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.62
Abajo;Low left;0.41;1;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;0.59
Arriba;High left;0.25;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.25
Abajo;Low right;0.22;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.22
Arriba;High right;0.1;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.1
Abajo;Low centre;0.05;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.05
Arriba;High centre;0.03;0;FCB-BRANN (4);FCB;BRANN;Aurora M;1.73;-0.03
Abajo;Low right;0.21;0;AJAX-CHE (4);AJAX;CHE;Hanna Hampton;1.73;-0.21
Abajo;Low centre;0.1;0;AJAX-CHE (4);AJAX;CHE;Hanna Hampton;1.73;-0.1
Abajo;Low centre;0.94;1;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;0.06
Abajo;Low centre;0.6;1;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;0.4
Arriba;High left;0.49;1;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;0.51
Abajo;Low left;0.36;0;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;-0.36
Abajo;Low right;0.05;0;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;-0.05
Abajo;Low centre;0.02;0;AJAX-CHE (4);CHE;AJAX;Regina Van;1.73;-0.02
Abajo;Low right;0.84;1;CHE-AJAX (4);CHE;AJAX;Regina Van;1.73;0.16
Abajo;Low centre;0.42;0;CHE-AJAX (4);CHE;AJAX;Regina Van;1.73;-0.42
