Arriba/abajo;zona;xGOT;Gol (0/1);Partido;Equipo tiro;Equipo portero;Portero;Altura;"Resultante
de cada tiro"
Abajo;Low right;0.31;0;Dortmund-RM(final);Dortmund;RM;Courtius;1.99;-0.31
Abajo;Low right;0.25;0;Dortmund-RM(final);Dortmund;RM;Courtius;1.99;-0.25
Abajo;Low left;0.24;0;Dortmund-RM(final);Dortmund;RM;Courtius;1.99;-0.24
Arriba;High left;0.38;0;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;-0.38
Arriba;High right;0.22;1;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;0.78
Abajo;Low left;0.38;0;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;-0.38
Arriba;High left;0.18;0;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;-0.18
Arriba;High right;0.06;0;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;-0.06
Abajo;Low right;0.56;1;Dortmund-RM(final);RM;Dourmunt;Gregor K;1.94;0.44
Abajo;Low right;0.59;0;Dortmund-PSG (semi);Dourmund;PSG;Gianluigi;1.96;-0.59
Abajo;Low centre;0.28;0;Dortmund-PSG (semi);Dourmund;PSG;Gianluigi;1.96;-0.28
Abajo;Low left;0.2;1;Dortmund-PSG (semi);Dourmund;PSG;Gianluigi;1.96;0.8
Arriba;High centre;0.05;0;Dortmund-PSG (semi);Dourmund;PSG;Gianluigi;1.96;-0.05
Abajo;Low centre;0.51;0;Dortmund-PSG (semi);PSG;Dourmunt;Gregor K;1.94;-0.51
Abajo;Low centre;0.03;0;Dortmund-PSG (semi);PSG;Dourmunt;Gregor K;1.94;-0.03
Abajo;Low centre;0.02;0;Dortmund-PSG (semi);PSG;Dourmunt;Gregor K;1.94;-0.02
Arriba;High centre;0.43;0;PSG-Dourmund (semi);PSG;Dourmunt;Gregor K;1.94;-0.43
Abajo;Low right;0.24;0;PSG-Dourmund (semi);PSG;Dourmunt;Gregor K;1.94;-0.24
Abajo;Low centre;0.05;0;PSG-Dourmund (semi);PSG;Dourmunt;Gregor K;1.94;-0.05
Abajo;Low centre;0.02;0;PSG-Dourmund (semi);PSG;Dourmunt;Gregor K;1.94;-0.02
Abajo;Low centre;0.02;0;PSG-Dourmund (semi);PSG;Dourmunt;Gregor K;1.94;-0.02
Abajo;Low right;0.69;1;PSG-Dourmund (semi);Dourmund;PSG;Gianluigi;1.96;0.31
Abajo;Low centre;0.1;0;PSG-Dourmund (semi);;PSG;Gianluigi;1.96;-0.1
Abajo;Low centre;0.08;0;PSG-Dourmund (semi);;PSG;Gianluigi;1.96;-0.08
Abajo;Low left;0.99;1;Bayer M-RM (semi);Bayer;RM;Lunin;1.91;0.01
Abajo;Low centre;0.38;0;Bayer M-RM (semi);Bayer;RM;Lunin;1.91;-0.38
Abajo;Low right;0.15;1;Bayer M-RM (semi);Bayer;RM;Lunin;1.91;0.85
Abajo;Low centre;0.12;0;Bayer M-RM (semi);Bayer;RM;Lunin;1.91;-0.12
Abajo;Low centre;0.04;0;Bayer M-RM (semi);Bayer;RM;Lunin;1.91;-0.04
Abajo;Low centre;0.89;1;Bayer M-RM (semi);RM;Bayer;Neuer;1.93;0.11
Abajo;Low centre;0.54;1;Bayer M-RM (semi);RM;Bayer;Neuer;1.93;0.46
Abajo;Low centre;0.23;0;Bayer M-RM (semi);RM;Bayer;Neuer;1.93;-0.23
Arriba;High centre;0.08;0;Bayer M-RM (semi);RM;Bayer;Neuer;1.93;-0.08
Abajo;Low left;0.95;1;RM-Bayer (semi);RM;Bayer;Neuer;1.93;0.05
Abajo;Low centre;0.65;1;RM-Bayer (semi);RM;Bayer;Neuer;1.93;0.35
Abajo;Low left;0.62;0;RM-Bayer (semi);RM;Bayer;Neuer;1.93;-0.62
